Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz,Target
-12,-18,-22,-25,-35,-36,-32,-43,-35,-24,-18,-23,-34,7,-22,-21,-20,-18,-20,-22,-20,-102,-52,-42,-76,-77,-36,-69,-63,-56,-35,-37,-39,-36,-43,-44,-51,-59,-65,-7,24,-7,7,-20,-7,-7,-15,-14,-20,-20,-23,-22,-11,-9,-15,-11,-12,-19,-15,-37,-15,-8,-3,-21,REST
-13,-24,-29,-31,-42,-42,-32,-41,-40,-32,-24,-30,-37,-15,-25,-27,-25,-23,-25,-26,-22,-72,-59,-52,-43,-42,-35,-71,-64,-44,-33,-33,-34,-32,-36,-38,-49,-45,-28,-11,4,-8,15,-11,-4,-6,-10,-8,-13,-13,-15,-13,-2,1,-6,-8,-6,-11,-7,-29,-8,-4,-3,-19,REST
12,-14,-19,-18,-30,-29,-25,-17,-23,-17,-10,-14,-22,2,-10,-12,-11,-8,-9,-11,-3,-27,-29,-47,16,17,-18,-27,-19,29,-15,-16,-17,-16,-26,-29,-34,-46,37,1,3,3,16,-1,-7,1,-8,-8,-13,-14,-16,-12,-2,1,-5,-13,-12,-13,-15,-36,-16,-11,-15,-27,REST
3,-23,-29,-25,-37,-36,-25,-35,-40,-33,-23,-24,-31,-14,-29,-32,-29,-26,-23,-26,-20,-43,-53,-65,-5,-6,-35,-57,-50,4,-41,-43,-43,-41,-40,-41,-54,-78,-8,-27,-21,-26,8,-12,-25,-24,-18,-18,-26,-27,-30,-23,-16,-14,-26,-15,-17,-18,-21,-42,-18,-9,-14,-16,REST
-15,-24,-30,-27,-43,-42,-33,-36,-39,-30,-24,-24,-32,-13,-17,-24,-22,-18,-14,-17,-14,-41,-36,-41,-10,-11,-23,-38,-31,7,-22,-21,-22,-21,-25,-27,-20,-25,-4,2,43,6,24,14,27,6,9,9,-2,-3,-5,4,6,10,6,6,4,-1,4,-19,1,6,-3,-10,REST
-6,-6,-12,-10,-29,-28,-35,-21,-24,-11,-7,-10,-23,8,-1,-11,-11,-6,-5,-10,-5,-67,-26,-36,-23,-24,-27,-34,-27,-11,-16,-18,-20,-18,-31,-32,-12,-21,11,1,40,2,12,-3,21,1,-8,-7,-17,-18,-25,-17,-14,-13,-4,-16,-17,-24,-23,-45,-22,-13,-25,-36,REST
0,-24,-29,-28,-49,-49,-51,-38,-43,-27,-26,-29,-43,-7,-17,-33,-31,-25,-27,-33,-26,-51,-36,-28,-53,-54,-39,-53,-45,-40,-27,-29,-29,-27,-40,-41,-46,-49,-27,-10,33,-7,17,-20,14,-6,-12,-11,-24,-23,-31,-23,-14,-12,-7,-14,-15,-23,-15,-36,-16,-3,-11,-16,REST
-8,-26,-32,-26,-41,-41,-30,-40,-41,-25,-23,-23,-27,-3,-9,-29,-26,-17,-12,-17,-3,-25,-29,-28,-29,-29,-21,-34,-27,-13,-32,-32,-33,-31,-26,-28,-42,-49,-30,-1,32,3,22,8,6,3,-5,-5,-16,-16,-18,-7,4,7,1,-7,-8,-17,-2,-24,-11,5,-5,-13,REST
-8,-22,-26,-22,-39,-37,-26,-42,-39,-25,-22,-23,-27,3,-14,-31,-29,-18,-15,-19,-3,-76,-47,-46,-27,-27,-21,-44,-37,-14,-38,-40,-41,-39,-36,-37,-34,-62,-13,-1,-9,1,12,1,-25,0,-23,-23,-31,-31,-31,-22,-14,-12,-4,-27,-29,-33,-28,-49,-31,-15,-24,-44,REST
-15,-35,-40,-31,-55,-54,-41,-49,-50,-35,-33,-34,-41,-4,-26,-39,-36,-25,-27,-30,-16,-61,-53,-56,-25,-26,-36,-65,-57,-2,-39,-39,-40,-37,-42,-42,-36,-66,-10,-2,-5,1,16,-4,-13,1,-8,-7,-18,-19,-22,-14,-8,-6,-2,-8,-11,-21,-15,-37,-12,-3,-11,-22,REST
