Time,Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz,Target
0.0,-12,-18,-22,-25,-35,-36,-32,-43,-35,-24,-18,-23,-34,7,-22,-21,-20,-18,-20,-22,-20,-102,-52,-42,-76,-77,-36,-69,-63,-56,-35,-37,-39,-36,-43,-44,-51,-59,-65,-7,24,-7,7,-20,-7,-7,-15,-14,-20,-20,-23,-22,-11,-9,-15,-11,-12,-19,-15,-37,-15,-8,-3,-21,REST
0.0063,-13,-24,-29,-31,-42,-42,-32,-41,-40,-32,-24,-30,-37,-15,-25,-27,-25,-23,-25,-26,-22,-72,-59,-52,-43,-42,-35,-71,-64,-44,-33,-33,-34,-32,-36,-38,-49,-45,-28,-11,4,-8,15,-11,-4,-6,-10,-8,-13,-13,-15,-13,-2,1,-6,-8,-6,-11,-7,-29,-8,-4,-3,-19,REST
0.0125,12,-14,-19,-18,-30,-29,-25,-17,-23,-17,-10,-14,-22,2,-10,-12,-11,-8,-9,-11,-3,-27,-29,-47,16,17,-18,-27,-19,29,-15,-16,-17,-16,-26,-29,-34,-46,37,1,3,3,16,-1,-7,1,-8,-8,-13,-14,-16,-12,-2,1,-5,-13,-12,-13,-15,-36,-16,-11,-15,-27,REST
0.0188,3,-23,-29,-25,-37,-36,-25,-35,-40,-33,-23,-24,-31,-14,-29,-32,-29,-26,-23,-26,-20,-43,-53,-65,-5,-6,-35,-57,-50,4,-41,-43,-43,-41,-40,-41,-54,-78,-8,-27,-21,-26,8,-12,-25,-24,-18,-18,-26,-27,-30,-23,-16,-14,-26,-15,-17,-18,-21,-42,-18,-9,-14,-16,REST
0.025,-15,-24,-30,-27,-43,-42,-33,-36,-39,-30,-24,-24,-32,-13,-17,-24,-22,-18,-14,-17,-14,-41,-36,-41,-10,-11,-23,-38,-31,7,-22,-21,-22,-21,-25,-27,-20,-25,-4,2,43,6,24,14,27,6,9,9,-2,-3,-5,4,6,10,6,6,4,-1,4,-19,1,6,-3,-10,REST
0.0312,-6,-6,-12,-10,-29,-28,-35,-21,-24,-11,-7,-10,-23,8,-1,-11,-11,-6,-5,-10,-5,-67,-26,-36,-23,-24,-27,-34,-27,-11,-16,-18,-20,-18,-31,-32,-12,-21,11,1,40,2,12,-3,21,1,-8,-7,-17,-18,-25,-17,-14,-13,-4,-16,-17,-24,-23,-45,-22,-13,-25,-36,REST
0.0375,0,-24,-29,-28,-49,-49,-51,-38,-43,-27,-26,-29,-43,-7,-17,-33,-31,-25,-27,-33,-26,-51,-36,-28,-53,-54,-39,-53,-45,-40,-27,-29,-29,-27,-40,-41,-46,-49,-27,-10,33,-7,17,-20,14,-6,-12,-11,-24,-23,-31,-23,-14,-12,-7,-14,-15,-23,-15,-36,-16,-3,-11,-16,REST
0.0438,-8,-26,-32,-26,-41,-41,-30,-40,-41,-25,-23,-23,-27,-3,-9,-29,-26,-17,-12,-17,-3,-25,-29,-28,-29,-29,-21,-34,-27,-13,-32,-32,-33,-31,-26,-28,-42,-49,-30,-1,32,3,22,8,6,3,-5,-5,-16,-16,-18,-7,4,7,1,-7,-8,-17,-2,-24,-11,5,-5,-13,REST
0.05,-8,-22,-26,-22,-39,-37,-26,-42,-39,-25,-22,-23,-27,3,-14,-31,-29,-18,-15,-19,-3,-76,-47,-46,-27,-27,-21,-44,-37,-14,-38,-40,-41,-39,-36,-37,-34,-62,-13,-1,-9,1,12,1,-25,0,-23,-23,-31,-31,-31,-22,-14,-12,-4,-27,-29,-33,-28,-49,-31,-15,-24,-44,REST
0.0563,-15,-35,-40,-31,-55,-54,-41,-49,-50,-35,-33,-34,-41,-4,-26,-39,-36,-25,-27,-30,-16,-61,-53,-56,-25,-26,-36,-65,-57,-2,-39,-39,-40,-37,-42,-42,-36,-66,-10,-2,-5,1,16,-4,-13,1,-8,-7,-18,-19,-22,-14,-8,-6,-2,-8,-11,-21,-15,-37,-12,-3,-11,-22,REST
0.0625,-11,-29,-33,-26,-44,-43,-18,-28,-33,-22,-23,-23,-27,-2,-3,-24,-23,-13,-16,-18,-9,-54,-44,-69,-37,-39,-40,-50,-42,-3,-33,-34,-35,-33,-38,-40,-51,-54,-33,-10,38,-8,3,-11,7,-10,-2,-2,-15,-16,-24,-18,-15,-13,-16,-9,-12,-26,-23,-44,-16,-9,-16,-26,REST
0.0688,-10,-33,-38,-35,-49,-49,-18,-35,-42,-30,-35,-34,-40,-21,-10,-39,-36,-32,-35,-36,-28,-101,-65,-78,-53,-53,-46,-64,-58,-26,-46,-48,-49,-46,-45,-46,-61,-53,-58,-23,18,-21,-5,-17,-10,-20,-12,-12,-27,-27,-36,-30,-25,-23,-19,-16,-20,-34,-27,-49,-22,-11,-16,-23,REST
0.075,-20,-33,-38,-32,-44,-42,-26,-35,-41,-25,-29,-27,-35,-6,-9,-32,-29,-25,-25,-26,-13,-51,-39,-42,-16,-15,-22,-45,-39,5,-29,-30,-31,-29,-24,-27,-86,-41,-49,4,46,8,29,9,13,8,2,2,-14,-14,-23,-14,-10,-7,7,-5,-10,-25,-15,-39,-13,-5,-16,-18,REST
0.0813,-24,-28,-33,-30,-36,-35,-12,-33,-37,-21,-26,-26,-35,6,-13,-30,-28,-26,-29,-30,-11,-32,-39,-58,-24,-25,-40,-47,-41,-21,-52,-55,-55,-53,-49,-50,-82,-68,-69,-5,12,-4,10,3,-8,-5,-21,-20,-38,-38,-48,-37,-30,-29,-12,-27,-33,-45,-40,-62,-38,-25,-37,-38,REST
0.0875,-36,-54,-59,-61,-75,-74,-39,-50,-60,-48,-54,-58,-69,-19,-40,-57,-53,-54,-54,-54,-32,-99,-75,-77,-55,-56,-67,-100,-95,-52,-67,-68,-68,-66,-68,-69,-46,-95,-70,-22,1,-19,-7,-7,-19,-18,-25,-24,-41,-40,-46,-35,-28,-25,-16,-26,-29,-35,-30,-51,-30,-18,-27,-26,REST
0.0938,-21,-39,-43,-43,-60,-58,-29,-23,-40,-27,-31,-36,-48,-4,-17,-33,-31,-32,-27,-28,-8,-85,-52,-50,-11,-10,-34,-74,-68,15,-27,-28,-29,-29,-35,-39,-12,-46,-39,1,40,3,5,3,16,2,1,1,-18,-18,-25,-15,-10,-7,-2,-9,-10,-22,-14,-37,-13,-10,-15,-14,REST
0.1,-28,-33,-36,-32,-46,-46,-38,-22,-39,-24,-25,-32,-47,-10,-20,-36,-33,-33,-34,-34,-18,-60,-48,-50,-33,-35,-42,-44,-36,-14,-48,-50,-51,-48,-46,-49,-40,-17,-50,-21,5,-20,-16,-11,-14,-19,-18,-17,-35,-34,-45,-37,-30,-28,-22,-26,-28,-39,-33,-54,-31,-25,-25,-30,REST
0.1063,-40,-42,-46,-43,-62,-61,-55,-35,-53,-35,-37,-42,-59,-19,-34,-47,-44,-42,-45,-42,-26,-68,-46,-47,-55,-56,-47,-29,-22,-58,-59,-59,-59,-57,-50,-53,-46,1,-60,-12,5,-9,-2,10,-18,-8,-9,-8,-25,-25,-34,-27,-20,-17,-7,-12,-13,-24,-19,-40,-14,-9,-14,-16,REST
0.1125,-14,-27,-32,-32,-54,-52,-53,-16,-37,-18,-24,-30,-45,-3,-13,-26,-24,-25,-27,-26,-10,-82,-42,-44,-34,-34,-33,-47,-41,-21,-41,-41,-42,-40,-39,-42,-36,-25,-58,-6,30,-5,18,14,7,-6,5,5,-13,-13,-20,-18,-16,-13,-12,-2,-2,-12,-17,-39,-6,0,-7,-10,REST
0.1187,-15,-30,-35,-32,-52,-51,-39,-18,-36,-18,-24,-31,-44,-20,-12,-25,-22,-24,-28,-30,-20,-77,-60,-68,-46,-46,-38,-58,-52,-6,-42,-43,-44,-41,-40,-43,-29,-68,-54,-29,23,-29,12,-9,7,-27,-1,0,-13,-12,-18,-16,-19,-16,-30,-7,-5,-6,-17,-39,-7,-2,-1,-10,REST
0.125,-14,-25,-29,-23,-40,-39,-13,-18,-31,-8,-12,-15,-26,-17,-5,-12,-9,-8,-7,-12,-1,-57,-40,-62,-37,-37,-21,-48,-42,6,-24,-24,-25,-23,-15,-18,-14,-39,-74,-3,39,0,16,2,6,1,13,13,6,7,6,11,10,11,3,10,13,15,10,-11,11,11,14,10,REST
0.1313,-10,-7,-12,-3,-12,-12,9,-12,-22,6,7,5,-4,9,4,0,3,7,10,4,18,-67,-45,-50,-34,-34,-14,-56,-51,-18,-22,-23,-24,-22,-12,-14,-42,-46,-89,4,31,5,3,-14,-9,4,2,3,-1,-1,-2,3,4,6,-1,-5,-1,3,-3,-25,-4,-4,-3,-17,REST
0.1375,-12,-8,-13,-6,-18,-18,-4,-16,-29,-1,-1,-3,-16,-3,-7,-15,-12,-4,-6,-9,6,-54,-48,-48,-16,-17,-19,-43,-36,-1,-17,-18,-18,-16,-21,-22,-40,-69,-40,-4,33,-1,-6,-13,-11,-1,-10,-8,-11,-11,-13,-7,-1,2,0,-16,-12,-9,-7,-30,-15,-11,-10,-22,REST
0.1438,-18,-8,-13,-7,-20,-20,-10,-16,-30,-3,-3,-3,-16,7,-8,-17,-15,-8,-6,-8,10,-34,-20,-32,-1,-1,-9,-13,-6,8,-21,-22,-23,-21,-12,-13,2,-24,-26,11,18,13,-1,15,-28,11,-21,-20,-22,-22,-24,-16,-7,-4,7,-28,-24,-26,-16,-39,-29,-22,-18,-27,REST
0.15,-36,-28,-33,-24,-34,-34,-24,-40,-51,-26,-24,-26,-34,1,-32,-40,-36,-35,-31,-35,-15,-60,-32,-29,-46,-47,-28,-36,-28,-45,-52,-54,-54,-52,-34,-34,0,-44,-79,-14,-26,-14,-26,8,-61,-14,-43,-42,-42,-42,-47,-41,-31,-29,-20,-40,-39,-40,-38,-59,-41,-36,-28,-44,REST
0.1562,-39,-39,-43,-35,-51,-51,-35,-43,-53,-31,-30,-35,-44,-19,-33,-36,-34,-35,-32,-36,-17,-96,-48,-34,-42,-41,-24,-43,-35,-27,-34,-33,-35,-33,-23,-25,-43,-77,-51,-17,-17,-14,-22,23,-44,-14,-17,-15,-15,-15,-21,-13,-8,-5,-13,-15,-13,-12,-13,-35,-14,-18,-13,-26,REST
0.1625,-9,-5,-9,-8,-17,-17,2,-8,-21,2,1,-2,-12,-5,-5,-3,-2,-4,-3,-5,8,-73,-31,-54,-14,-15,-5,-21,-15,-14,-17,-17,-20,-18,-3,-5,-16,-36,-46,-3,-3,1,-4,33,-36,-1,-5,-4,-8,-10,-16,-8,-3,-1,-2,-13,-11,-15,-16,-38,-15,-20,-18,-26,REST
0.1688,-33,-21,-26,-20,-25,-26,-3,-24,-39,-16,-15,-17,-26,-3,-22,-24,-21,-23,-24,-24,-14,-46,-35,-55,-35,-36,-34,-30,-22,-41,-46,-49,-50,-47,-41,-40,-19,-19,-49,-2,-1,1,-14,-1,-30,1,-21,-19,-31,-31,-41,-33,-23,-21,0,-29,-27,-34,-32,-54,-29,-27,-27,-27,REST
0.175,-37,-41,-45,-40,-55,-55,-52,-30,-50,-30,-31,-35,-45,4,-29,-33,-31,-32,-32,-32,-18,-53,-26,-23,-44,-43,-33,-21,-12,-23,-43,-43,-43,-41,-44,-46,-4,-12,-41,9,31,12,2,18,-5,11,-5,-4,-24,-23,-30,-21,-9,-7,10,-10,-11,-21,-12,-34,-13,-12,-14,-5,REST
0.1813,-24,-24,-27,-27,-45,-43,-49,-25,-43,-22,-22,-27,-35,9,-26,-28,-26,-25,-23,-25,-12,-56,-31,-39,-64,-64,-23,-37,-32,-24,-37,-39,-39,-38,-31,-33,-11,-45,-67,1,12,1,-3,21,-27,0,-16,-16,-37,-37,-41,-31,-19,-17,-5,-23,-27,-35,-27,-49,-33,-28,-24,-29,REST
0.1875,-50,-41,-46,-39,-49,-49,-35,-53,-70,-44,-40,-42,-48,-11,-58,-55,-52,-43,-41,-44,-32,-67,-64,-76,-49,-49,-43,-90,-84,-36,-56,-56,-57,-54,-40,-40,-48,-101,-95,-13,-50,-11,-7,11,-66,-10,-35,-35,-52,-51,-52,-39,-24,-21,-10,-37,-41,-40,-27,-49,-44,-34,-25,-41,REST
0.1938,-51,-48,-52,-44,-49,-49,-22,-53,-67,-43,-37,-39,-40,-4,-54,-48,-45,-35,-33,-36,-16,-97,-60,-67,-29,-30,-46,-59,-52,-13,-51,-50,-51,-49,-44,-44,-59,-69,-84,-2,-29,-1,-4,26,-54,-2,-24,-23,-40,-40,-44,-32,-16,-14,-5,-29,-32,-33,-23,-45,-34,-27,-26,-33,REST
